,start_page,end_page,guid,pages,ship_name,hull_number,country,base_port,ship_class,ship_type,ship_role,displacement_full_load_tons,length_metres,beam_metres,draught_metres,hull_form,hull_shape,bow_shape,speed_knots,complement_total_personnel,superstructure_layout,distinct_superstructure_blocks_number,funnel_arrangement,funnels_total,funnel_shape,spacing_between_funnels,smokestacks_total,main_machinery,main_gun,main_gun_caliber_inches,main_gun_turrets_total,torpedo_tubes_visible_number,length_to_beam_ratio,approximate_size_category,mast_configuration,freeboard_height,radar_configuration,radar_airsearch,radar_surfacesearch,radar_firecontrol,sonar,gunmounts_position,gunmounts_number,gunmounts_size,missile_launchers,CIWS,CIWS_positions,flight_deck,hangar,hangar_capacity,helicopter_platform,helicopter_capacity,builder,launch_year,commission_year,CIWS_count,CIWS_type
180,87,89,8ab402ae-7108-42db-ad96-3f3123a35729,87-89,Seteria,P 04,Brunei,,Waspada,Guided Missile Motor Torpedo Boat,Fast Attack Craft,206.0,36.9,7.2,1.8,Monohull,Sleek,Fine,32.0,24.0,Single continuous,1,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 MTU 20V 538 diesels,2 Oerlikon 20 mm GCM-B01 (twin),0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Kelvin Hughes Type 1007; I-band,,,Aft,2.0,Small (<30mm - CIWS small caliber),2 MM38 Exocet SSM,,,n,n,0.0,n,0.0,Vosper (Singapore),1977.0,1978.0,,
181,87,89,353f3182-b01a-4cf2-bbcc-e726458d8f69,87-89,Perwira,P 14,Brunei,,Perwira,Patrol Boat,Coastal Patrol Craft,38.0,21.7,6.1,1.2,Monohull,Sleek,Fine,32.0,15.0,Single continuous,1,,0.0,,Integrated,0.0,2 MTU MB 12V diesels,2 Oerlikon/BMARC 20 mm,0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Very Low,Simple arrays (1-2 basic radars),,Racal Decca RM 1290; I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Vosper (Singapore),1974.0,1975.0,,
182,87,89,353f3182-b01a-4cf2-bbcc-e726458d8f69,87-89,Penunjuk,P 15,Brunei,,Perwira,Patrol Boat,Coastal Patrol Craft,38.0,21.7,6.1,1.2,Monohull,Sleek,Fine,32.0,15.0,Single continuous,1,,0.0,,Integrated,0.0,2 MTU MB 12V diesels,2 Oerlikon/BMARC 20 mm,0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Very Low,Simple arrays (1-2 basic radars),,Racal Decca RM 1290; I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Vosper (Singapore),1974.0,1975.0,,
183,87,89,353f3182-b01a-4cf2-bbcc-e726458d8f69,87-89,Penterang,P 16,Brunei,,Perwira,Patrol Boat,Coastal Patrol Craft,38.0,21.7,6.1,1.2,Monohull,Sleek,Fine,32.0,15.0,Single continuous,1,,0.0,,Integrated,0.0,2 MTU MB 12V diesels,2 Oerlikon/BMARC 20 mm,0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Very Low,Simple arrays (1-2 basic radars),,Racal Decca RM 1290; I-band,,,Multiple positions,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Vosper (Singapore),1974.0,1975.0,,
184,89,97,46836263-351b-4bac-a99c-088e4372b1b4,89-97,Smeli,,Bulgaria,Varna,Koni,Light Frigate,Frigate,1900.0,96.4,12.6,3.5,Monohull,Sleek,Fine,27.0,110.0,Cluttered/asymmetric,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,"CODAG; 1 gas turbine, 2 diesels",4–3 in/59 (2 twin),3.0,4.0,0.0,Long and narrow,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Strut Curve; F-band,Don; I-band,"Hawk Screech; H/I-band (76mm), Drum Tilt; H/I-band (30mm), Pop Group; E/H/I-band (SAM)",Hercules (MG-322); hull-mounted,Forward,4.0,Medium (30mm-76mm),SA-N-4 Gecko SAM,,,n,n,0.0,n,0.0,,,1990.0,,
184,89,97,46836263-351b-4bac-a99c-088e4372b1b4,89-97,Smeli,,Bulgaria,Varna,Koni,Light Frigate,Frigate,1900.0,96.4,12.6,3.5,Monohull,Sleek,Fine,27.0,110.0,Cluttered/asymmetric,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,"CODAG; 1 gas turbine, 2 diesels",4–3 in/59 (2 twin),3.0,4.0,0.0,Long and narrow,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Strut Curve; F-band,Don; I-band,"Hawk Screech; H/I-band (76mm), Drum Tilt; H/I-band (30mm), Pop Group; E/H/I-band (SAM)",Hercules (MG-322); hull-mounted,Aft,4.0,Medium (30mm-76mm),SA-N-4 Gecko SAM,,,n,n,0.0,n,0.0,,,1990.0,,
185,89,97,0233322f-8056-4656-a02d-a4fe6b1e2c58,89-97,Drazki,41,Bulgaria,,Wielingen,Guided Missile Frigate,Frigate,2430.0,106.4,12.6,5.3,Monohull,Sleek,Fine,26.0,158.0,Split fore/aft,Multiple,Single compact,1.0,Raked,Integrated,1.0,"CODAG; 1 RR Olympus gas turbine, 2 Cockerill diesels",1 Creusot-Loire 3.9 in/55 Mod 68,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Signal DA08; E/F-band,Signal WM28; E/F-band,,Computing Devices Canada SQS 510; hull-mounted,Forward,1.0,Large (76mm-127mm),"4 MM38 SSM, Sea Sparrow SAM",,,y,y,1.0,y,1.0,"Boelwerf, Temse / Cockerill, Hoboken",1975.0,1976.0,,
186,89,97,0233322f-8056-4656-a02d-a4fe6b1e2c58,89-97,Verni,42,Bulgaria,,Wielingen,Guided Missile Frigate,Frigate,2430.0,106.4,12.6,5.3,Monohull,Sleek,Fine,26.0,158.0,Split fore/aft,Multiple,Single compact,1.0,Raked,Integrated,1.0,"CODAG; 1 RR Olympus gas turbine, 2 Cockerill diesels",1 Creusot-Loire 3.9 in/55 Mod 68,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Signal DA08; E/F-band,Signal WM28; E/F-band,,Computing Devices Canada SQS 510; hull-mounted,Forward,1.0,Large (76mm-127mm),"4 MM38 SSM, Sea Sparrow SAM",,,y,y,1.0,y,1.0,"Boelwerf, Temse / Cockerill, Hoboken",1975.0,1976.0,,
187,89,97,0233322f-8056-4656-a02d-a4fe6b1e2c58,89-97,Gordi,43,Bulgaria,,Wielingen,Guided Missile Frigate,Frigate,2430.0,106.4,12.6,5.3,Monohull,Sleek,Fine,26.0,158.0,Split fore/aft,Multiple,Single compact,1.0,Raked,Integrated,1.0,"CODAG; 1 RR Olympus gas turbine, 2 Cockerill diesels",1 Creusot-Loire 3.9 in/55 Mod 68,3.9,1.0,0.0,Long and narrow,"Small (500-2,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),Signal DA08; E/F-band,Signal WM28; E/F-band,,Computing Devices Canada SQS 510; hull-mounted,Forward,1.0,Large (76mm-127mm),"4 MM38 SSM, Sea Sparrow SAM",,,y,y,1.0,y,1.0,"Boelwerf, Temse / Cockerill, Hoboken",1975.0,1976.0,,
188,89,97,094d7064-a660-4523-a004-5aab76fa8390,89-97,Mълния,,Bulgaria,Atiya,Tarantul II,Guided Missile Frigate,Fast Attack Craft,456.0,56.1,11.5,2.5,Monohull,Sleek,Fine,36.0,34.0,Single continuous,1,Twin side-by-side,2.0,Raked,Close,2.0,COGAG; 4 gas turbines,1–3 in/59 AK-176,3.0,1.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),Plank Shave; E-band,,"Bass Tilt; H/I-band, Band Stand; D-band",,Forward,1.0,Medium (30mm-76mm),"4 SS-N-2C Styx SSM, SA-N-5 SAM",,,n,n,0.0,n,0.0,"Vydoinski, Rybinski",,1989.0,,
189,89,97,2ee08acc-68a5-48e1-828f-a63ea43653b7,89-97,Решителни,13,Bulgaria,Varna,Reshitelni (Pauk I),Minesweeper,Corvette,440.0,59.5,10.2,3.3,Monohull,Sleek,Fine,32.0,38.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Type 61 diesels,1–3 in/59 AK-176,3.0,1.0,4.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),Plank Shave; E-band,Spin Trough; I-band,Bass Tilt; H/I-band,Bull Nose; VDS,Forward,1.0,Medium (30mm-76mm),SA-N-5 SAM,,,n,n,0.0,n,0.0,,,1989.0,,
190,89,97,2ee08acc-68a5-48e1-828f-a63ea43653b7,89-97,Бодри,14,Bulgaria,Varna,Reshitelni (Pauk I),Minesweeper,Corvette,440.0,59.5,10.2,3.3,Monohull,Sleek,Fine,32.0,38.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Type 61 diesels,1–3 in/59 AK-176,3.0,1.0,4.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),Plank Shave; E-band,Spin Trough; I-band,Bass Tilt; H/I-band,Bull Nose; VDS,Forward,1.0,Medium (30mm-76mm),SA-N-5 SAM,,,n,n,0.0,n,0.0,,,1989.0,,
191,98,113,58e6264b-6eca-49a8-bfcf-98a6604d945c,98-113,Victoria,876,Canada,"Esquimalt (Victoria), Halifax (others)",Victoria (Upholder),Hunter-Killer Submarine,Submarine,2455.0,70.3,7.6,5.5,Monohull,Fine,Fine,20.0,48.0,,0,Underwater exhaust,0.0,,Integrated,0.0,Diesel-electric; 2 Paxman diesels,,,0.0,6.0,Long and narrow,"Small (500-2,000 tons)",nan,,Simple arrays (1-2 basic radars),,,,"Thomson Sintra Type 2046 (hull), BAE Type 2007 (flank), Thales Type 2046 (towed)",,0.0,,,,,n,n,0.0,n,0.0,"VSEL/Cammell Laird, Birkenhead/Barow",1989.0,2005.0,,
192,98,113,58e6264b-6eca-49a8-bfcf-98a6604d945c,98-113,Windsor,877,Canada,"Esquimalt (Victoria), Halifax (others)",Victoria (Upholder),Hunter-Killer Submarine,Submarine,2455.0,70.3,7.6,5.5,Monohull,Fine,Fine,20.0,48.0,,0,Underwater exhaust,0.0,,Integrated,0.0,Diesel-electric; 2 Paxman diesels,,,0.0,6.0,Long and narrow,"Small (500-2,000 tons)",nan,,Simple arrays (1-2 basic radars),,,,"Thomson Sintra Type 2046 (hull), BAE Type 2007 (flank), Thales Type 2046 (towed)",,0.0,,,,,n,n,0.0,n,0.0,"VSEL/Cammell Laird, Birkenhead/Barow",1989.0,2005.0,,
193,98,113,58e6264b-6eca-49a8-bfcf-98a6604d945c,98-113,Corner Brook,878,Canada,"Esquimalt (Victoria), Halifax (others)",Victoria (Upholder),Hunter-Killer Submarine,Submarine,2455.0,70.3,7.6,5.5,Monohull,Fine,Fine,20.0,48.0,,0,Underwater exhaust,0.0,,Integrated,0.0,Diesel-electric; 2 Paxman diesels,,,0.0,6.0,Long and narrow,"Small (500-2,000 tons)",nan,,Simple arrays (1-2 basic radars),,,,"Thomson Sintra Type 2046 (hull), BAE Type 2007 (flank), Thales Type 2046 (towed)",,0.0,,,,,n,n,0.0,n,0.0,"VSEL/Cammell Laird, Birkenhead/Barow",1989.0,2005.0,,
194,98,113,58e6264b-6eca-49a8-bfcf-98a6604d945c,98-113,Chicoutimi,879,Canada,"Esquimalt (Victoria), Halifax (others)",Victoria (Upholder),Hunter-Killer Submarine,Submarine,2455.0,70.3,7.6,5.5,Monohull,Fine,Fine,20.0,48.0,,0,Underwater exhaust,0.0,,Integrated,0.0,Diesel-electric; 2 Paxman diesels,,,0.0,6.0,Long and narrow,"Small (500-2,000 tons)",nan,,Simple arrays (1-2 basic radars),,,,"Thomson Sintra Type 2046 (hull), BAE Type 2007 (flank), Thales Type 2046 (towed)",,0.0,,,,,n,n,0.0,n,0.0,"VSEL/Cammell Laird, Birkenhead/Barow",1989.0,2005.0,,
195,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Halifax,330,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
196,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Vancouver,331,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
197,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Ville de Québec,332,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
198,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Toronto,333,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
199,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Regina,334,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
200,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Calgary,335,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
201,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Montreal,336,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
202,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Fredericton,337,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
203,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Winnipeg,338,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
204,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Charlottetown,339,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
205,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,St John's,340,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
206,98,113,b13350d6-c93b-471d-a575-a9e3f651b1fa,98-113,Ottawa,341,Canada,"Halifax, Esquimalt",Halifax,Guided Missile Frigate,Frigate,4770.0,134.1,16.4,7.1,Monohull,Sleek,Fine,29.0,198.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,"CODOG; 2 GE LM 2500 gas turbines, 1 diesel",1 Bofors 57 mm/70 Mk 2,2.24,1.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Raytheon SPS-49; C-band,Ericsson Sea Giraffe 150; I-band,2 Signal STIR 1.8; K-band,"Westinghouse SQS-510 (hull), SQR-501 CANTASS (towed)",Forward,1.0,Medium (30mm-76mm),"8 Harpoon SSM, RIM-7 Sea Sparrow / RIM-162 ESSM SAM",1 Vulcan Phalanx Mk 15,Aft,y,y,1.0,y,1.0,"Saint John SB, New Brunswick / Marine Industries, Sorel",1988.0,1992.0,1,Vulcan Phalanx Mk 15
207,98,113,be336831-0247-48b6-ab93-791806d4a115,98-113,Iroquois,280,Canada,"Halifax, Esquimalt",Iroquois,Guided Missile Destroyer,Destroyer,5300.0,129.8,15.2,7.9,Monohull,Sleek,Fine,29.0,285.0,Split fore/aft,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,"COGOG; 2 Pratt & Whitney FT4 gas turbines, 2 GM Allison FT12 gas turbines",1 OTO Melara 3 in/62 Super Rapid,3.0,1.0,6.0,Long and narrow,"Large (6,000-12,000 tons)",Two,Medium,Complex arrays (AEGIS-type systems),Signal SPS-502 (LW08); D-band,Signal SPS-503 (DA08); E/F-band,2 Signal STIR 1.8; I/J-band,General Dynamics SQS-510; VDS/hull,Forward,1.0,Large (76mm-127mm),Standard SM-2MR SAM,1 Vulcan Phalanx Mk 15,Aft,y,y,2.0,y,2.0,"Marine Industries Ltd, Sorel / Davie Shipbuilding, Lauzon",1970.0,1972.0,1,Vulcan Phalanx Mk 15
208,98,113,be336831-0247-48b6-ab93-791806d4a115,98-113,Athabaskan,281,Canada,"Halifax, Esquimalt",Iroquois,Guided Missile Destroyer,Destroyer,5300.0,129.8,15.2,7.9,Monohull,Sleek,Fine,29.0,285.0,Split fore/aft,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,"COGOG; 2 Pratt & Whitney FT4 gas turbines, 2 GM Allison FT12 gas turbines",1 OTO Melara 3 in/62 Super Rapid,3.0,1.0,6.0,Long and narrow,"Large (6,000-12,000 tons)",Two,Medium,Complex arrays (AEGIS-type systems),Signal SPS-502 (LW08); D-band,Signal SPS-503 (DA08); E/F-band,2 Signal STIR 1.8; I/J-band,General Dynamics SQS-510; VDS/hull,Forward,1.0,Large (76mm-127mm),Standard SM-2MR SAM,1 Vulcan Phalanx Mk 15,Aft,y,y,2.0,y,2.0,"Marine Industries Ltd, Sorel / Davie Shipbuilding, Lauzon",1970.0,1972.0,1,Vulcan Phalanx Mk 15
209,98,113,be336831-0247-48b6-ab93-791806d4a115,98-113,Algonquin,282,Canada,"Halifax, Esquimalt",Iroquois,Guided Missile Destroyer,Destroyer,5300.0,129.8,15.2,7.9,Monohull,Sleek,Fine,29.0,285.0,Split fore/aft,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,"COGOG; 2 Pratt & Whitney FT4 gas turbines, 2 GM Allison FT12 gas turbines",1 OTO Melara 3 in/62 Super Rapid,3.0,1.0,6.0,Long and narrow,"Large (6,000-12,000 tons)",Two,Medium,Complex arrays (AEGIS-type systems),Signal SPS-502 (LW08); D-band,Signal SPS-503 (DA08); E/F-band,2 Signal STIR 1.8; I/J-band,General Dynamics SQS-510; VDS/hull,Forward,1.0,Large (76mm-127mm),Standard SM-2MR SAM,1 Vulcan Phalanx Mk 15,Aft,y,y,2.0,y,2.0,"Marine Industries Ltd, Sorel / Davie Shipbuilding, Lauzon",1970.0,1972.0,1,Vulcan Phalanx Mk 15
210,98,113,10a78d82-e4d7-4184-8150-5695c8d36e35,98-113,Kingston,700,Canada,"Halifax, Esquimalt",Kingston,Mine Countermeasures Command Ship,Mine Warfare / Patrol,962.0,55.3,11.3,3.4,Monohull,Bulky,Axe bow,15.0,31.0,Single continuous,1,,0.0,,Integrated,0.0,Diesel-electric; 4 Wartsila diesels,1 Bofors 40 mm/60,1.57,1.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Kelvin Hughes 6000 A; E/F-band,,,Forward,1.0,Medium (30mm-76mm),,,,n,n,0.0,n,0.0,Halifax Shipyards,1995.0,1996.0,,
